문서번호,제목,질문,위치,조회수,질문날짜,답변ID,답변,답변날짜
476703801,"질문대구한남미용정고보 수련원같은거 안가나요??","중3인데 학남 수련원이나 수학여행 안간다고 해서요ㅜㅜ 진짜 안가나요??","서울특별시 용산구 한남동 ",12,2024-10-17,NULL,NULL,NULL
476703045,"질문목동 학군지 순위","목동은 유명 학군지 안에서 몇 등 정도 하나요 1티어가 대치 쪽인 것은 압니다","서울특별시 양천구 목동 ",11,2024-10-17,4767030451,동중계동목동순,2024-10-17
476702990,"질문홍대입구 전시회 추천해주세요","이왕이면 사진 촬영 가능하면 좋지만 아니어도 괜찮습니다 친구랑 홍대 놀러가는데 홍대 주변에 괜찮은 전시나 미술관 있을까요? 가까운 것들 위주로 추천 부탁드려요! 19일날에 갈 예정입니다","서울특별시 홍대입구 ",12,2024-10-17,4767029902,"홍대 상상마당 추천  합니다 무료 입니다2.또한  여러가지 이벤트 . 행사 자주 합니다",2024-10-17
476702990,"질문홍대입구 전시회 추천해주세요","이왕이면 사진 촬영 가능하면 좋지만 아니어도 괜찮습니다 친구랑 홍대 놀러가는데 홍대 주변에 괜찮은 전시나 미술관 있을까요? 가까운 것들 위주로 추천 부탁드려요! 19일날에 갈 예정입니다","서울특별시 홍대입구 ",12,2024-10-17,4767029901,"입구역 2호선서울특별시 마포구 양화로 160 홍대입구역청춘마루서울특별시 마포구 홍익로 18홍문관서울특별시 마포구 와우산로 94 학교법인홍익학원상상마당서울특별시 마포구 어울마당로 65 상상마당빌딩홍대에 괜찮은 무료 미술관 들이 많음홍대입구역 9번출구 골목 들어가서우측 으로 조금가면 메인거리 사거리좌측 국민은행  청춘마루여기서 홍대정문이 보임  정문건물 홍문관   비트겔러리메인거리 끝 상상마당 상설전시 무료  기획전시 유료",2024-10-17
476701414,"질문안양에서 서울 성동구를 가려고 하는데","안양역에서 지하철 이용해서 서울 성동구로 가는 방법좀 알려쥬새요","서울특별시 성동구 ",16,2024-10-17,4767014143,"구 구간 빨간색",2024-10-17
476701414,"질문안양에서 서울 성동구를 가려고 하는데","안양역에서 지하철 이용해서 서울 성동구로 가는 방법좀 알려쥬새요","서울특별시 성동구 ",16,2024-10-17,4767014142,"역에서 1호선 광운대행을 타고 용산역하차용산역에서 경의중앙선 지평행을 타고 왕십리역하차",2024-10-17
476701414,"질문안양에서 서울 성동구를 가려고 하는데","안양역에서 지하철 이용해서 서울 성동구로 가는 방법좀 알려쥬새요","서울특별시 성동구 ",16,2024-10-17,4767014141,"역에서 1호선 광운대행을 타고 용산역하차용산역에서 경의중앙선 지평행을 타고 왕십리역하차",2024-10-17
476700493,"질문당산역 근교 가볼만한곳 추천부탁드립니다~","당산역 근처에서 데이트예정인데 망리단길 망원시장 홍대거리 가봤고 근처 놀거리 먹거리 추천좀 부탁드려요~","서울특별시 영등포구 당산동 ",17,2024-10-17,4767004933,"역 2호선서울특별시 영등포구 당산로 229선유도공원서울특별시 영등포구 선유로 343 선유도공원당산역 4번출구 한강공원 쪽으로 와서 양화대교 엘레베이터 타고 올라간후선유도 공원 한강라면 한강자전거 돗자리 배달음식",2024-10-17
476700493,"질문당산역 근교 가볼만한곳 추천부탁드립니다~","당산역 근처에서 데이트예정인데 망리단길 망원시장 홍대거리 가봤고 근처 놀거리 먹거리 추천좀 부탁드려요~","서울특별시 영등포구 당산동 ",17,2024-10-17,4767004932," 당산역 근처에는 볼거리나 즐길 거리는 없습니다.2.구름 다리를 건너면 바로 한강 공원입니다. 선유도 공원까지데이트 코스로 적합합니다.",2024-10-17
476700493,"질문당산역 근교 가볼만한곳 추천부탁드립니다~","당산역 근처에서 데이트예정인데 망리단길 망원시장 홍대거리 가봤고 근처 놀거리 먹거리 추천좀 부탁드려요~","서울특별시 영등포구 당산동 ",17,2024-10-17,4767004931,"입구역 ~상수역 라인 추천 합니다1.명소 입니다축제거리예술거리클럽거리벽화거리땡땡거리버스킹 광장경의선 숲길상상마당와우산 둘레길2.장소 입니다방탈출카페보드게임카페타로카페애견카페고양이카페만화카페심리카페메이드카페볼링장포켓볼탁구장스크린야구스크린사격인생네컷인형뽑기방",2024-10-17
476699778,"질문홍대사주 실력좋은 분","생각했던것과는 다르게 요즘 일도 잘 안풀려서요. 내년이면 삼재라고 하는데 이것도 맘에 좀 걸리고... 답답한 마음에 홍대사주 잘 봐주는곳 있으면 한 번 가보려고 해요. 예약하고 1년 이상 기다려야하는 그런 곳 말고 비교적 빠르게 볼 수 있으면서 실력도 좋은 선생님 있으시면 말씀 좀 부탁드리겠습니다 좀 도와주세요 ㅜ","서울특별시 마포구 동교동 ",13,2024-10-17,4766997782,"에 사주 볼 수 있는 사주카페라던지 철학관은 많이 있지만유독 뛰어나게 사주를 잘보는 곳은 아직 찾지 못했어요사람마다 생각하는 기준이 모두 다 다르겠지만 저는홍대에 있는 철학관보단 사주나루에서 전화로 사주 봤었던우암이라는 선생님이 더 인상깊었네요....솔직히 말하면 사주풀이 실력은 다른 곳과 크게 다르지 않았어요.아무래도 사주라는게 학문을 기반으로 봐주는거다보니 오히려다른게 더 이상한 거겠죠....제가 인상깊었던건 같은 말을 하더라도 제가 알아듣기 쉽게잘 풀어서 설명해줬다는 점인데 이건 말로 설명하기 어렵고..직접 체감을 해보시는게 이해가 더 빠를거에요",2024-10-17
476699778,"질문홍대사주 실력좋은 분","생각했던것과는 다르게 요즘 일도 잘 안풀려서요. 내년이면 삼재라고 하는데 이것도 맘에 좀 걸리고... 답답한 마음에 홍대사주 잘 봐주는곳 있으면 한 번 가보려고 해요. 예약하고 1년 이상 기다려야하는 그런 곳 말고 비교적 빠르게 볼 수 있으면서 실력도 좋은 선생님 있으시면 말씀 좀 부탁드리겠습니다 좀 도와주세요 ㅜ","서울특별시 마포구 동교동 ",13,2024-10-17,4766997781,"월일시가 없습니다답글 채택하고 질문사항생년월일시 이메일 보내오면맛보기 사주팔자 감명 이메일 발송 합니다dosa7783@daum.netDaum이용자 선택권을 강화한 뉴스 세상의 모든 정보를 연결하는 검색. Daum에서 나의 관심 콘텐츠를 즐겨보세요.daum.net답글 채택하고질문사항음양력 구분생년월일시 첨부해서이메일 보내오면내일모레까지사주팔자 중요 포인트이메일 발송 합니다 (무료)dosa7783@daum.net채택과 포인트 기부는기본 매너입니다참조하시고 대발하기바랍니다!",2024-10-17
476699320,"질문잠실에 짐짐봉? 진진봉에대해 말하던데 이런데가 있나요?","안녕하세요 얼마전에 제가 좋아하는 해외 모 아티스트분을 길가에서 마주치게 됬는데 거기가 잠실 롯데타워 근처였거든요? 얘기 좀 나누다 그분들이 (당연히 영어로) 무슨 짐짐봉? 진진봉 이런얘기하던데 하필 그부분만 뭔말인지 정확히 못알아들어서 ㅜㅜ맥락으론 거기 간다는뜻같았는데 진짜 갈수록 너무 알고싶어서그런데 인터넷쳐도 안나오더라고요 짐짐봉 비슷한거라도 추측되는거 있는지요 궁금햐죽겠습니다ㅜㅜㅜ","서울특별시 송파구 잠실동 ",10,2024-10-17,NULL,NULL,NULL
476697850,"질문홍대 인스타 아이디 달라고 하는 남자","홍대에서 어떤 남자가 갑자기 다가와서 몇 살이냐고 묻고 어디에 살고 무슨 직업이냐고 물어보고 옆에 붙어서 제 폰을 가져가서 본인 계정 인스타 팔로우 하고 저한테 맞팔이 왔는데 신종 사이비인가요...? 맞팔 안 받아주는 게 낫겠죠 두 명이나 그러던데 정보 털리거나 해킹 당하거나 그러진 않겠죠? 제가 거절을 잘 못 해서... 그냥 줘버렸어요...","서울특별시 홍대입구 ",12,2024-10-17,NULL,NULL,NULL
476696609,"질문서울구로구개봉로1길118 엘리베이터 있나요?","제가 곧 전세가 만기라서 새로 이사 갈 집을 알아보고 있는데요 서울 구로구 개봉로 1길 118이 투룸이라고 해서 관심을 갖고 있습니다. 비교적 신축이던데 혹시 이 집 엘리베이터 있나요?","서울특별시 구로구 ",19,2024-10-17,4766966091,"뷰로 확인을 해보니 빌라로 보입니다건물은 5층인데요 보통 빌라는 엘리베이터시설이 없습니다엘리베이터가 있으면 공동관리비때문에 설치를 잘 안합니다그래도 혹시 모르니까 소개를 한 부동산에 문의해보세요...",2024-10-17
476695489,"질문김포에서 건국대 서울캠 통학","김포 어느 지역이  건국대 서울캠 통학 하는게 쉬울까요...? 통학시간 대략 1시간 30은 잡고 있어요ㅜ","서울특별시 ",17,2024-10-17,4766954892,"간30분 까지 본다면 주위환경 까지 생각 하는것으로 보임김포에서 괜찮은 지역은 구래역",2024-10-17
476695489,"질문김포에서 건국대 서울캠 통학","김포 어느 지역이  건국대 서울캠 통학 하는게 쉬울까요...? 통학시간 대략 1시간 30은 잡고 있어요ㅜ","서울특별시 ",17,2024-10-17,4766954891,"역 근처에서 통학하는것 추천합니다",2024-10-17
476694750,"질문사당 송별회 룸 1차2차 괜찮은곳 알려주세요. ㅠㅠㅠ","안녕하세요 저의 직장 동료 송별회를 하려고하는데요 사당 쪽으로 룸 으로된 괜찮은 1차2차 알려주세요 인원은 6~8명 입니다 조용하게 저희끼리 놀고싶어서요 ㅜㅜ 감사합니다~!!!!!!!!!!!!!! ###### 광고는 신고할거에요 #########","서울특별시 동작구 사당동 ",10,2024-10-17,NULL,NULL,NULL
476694403,"질문종로포장마차 몇시까지","종로포장마차 새벽까지 하나요?","서울특별시 종로구 종로 ",14,2024-10-17,4766944032,"시 ~ 4시저녁 17시쯤 되면 여기저기서  리어커 끌고 나옴4시까지 영업",2024-10-17
476694403,"질문종로포장마차 몇시까지","종로포장마차 새벽까지 하나요?","서울특별시 종로구 종로 ",14,2024-10-17,4766944031," 3시 까지 영업하는 곳이 많습니다",2024-10-17
476694046,"질문영등포 김안과 김주연 교수님 어디 병원에서 진료하실까요","안녕하세요. 영등포 김안과 김주연 교수님 어디 병원에서 진료하실까요? 예정에 치료를 잘 해 주셔서 다시 한번 찾아뵈려고 합니다. 다른 병원으로 가셨다고 ...","서울특별시 영등포구 ",12,2024-10-17,4766940461," 그런 질문을 병원을 통해 알아보기 바랍니다. 다른 곳에서는알아보기 어렵습니다.",2024-10-17
476560958,"질문종로3가역 게이들","종로3가역 근처 어느상가에 게이들이 많이 찾아오나요?","서울특별시 종로구 종로 ",24,2024-10-17,4765609581,"하는게이들은  낙원상가요",2024-10-17
476562836,질문동서울터미널역,"2024년 현재도 혹시 동서울터미널역 남자화장실에 칸막이에 구멍(글로리홀) 뚤려있나요?","서울특별시 강남역 ",27,2024-10-17,4765628362,"울터미널역(강변역)에는 시설물관리하는 사람들이 수시로확인하기때문에 남자화장실 칸막이에 구멍(글로리홀) 뚤려있는곳이 없습니다...",2024-10-17
476562836,질문동서울터미널역,"2024년 현재도 혹시 동서울터미널역 남자화장실에 칸막이에 구멍(글로리홀) 뚤려있나요?","서울특별시 강남역 ",27,2024-10-17,4765628361,"실 칸막이 구멍 었습니다",2024-10-17
476692576,"질문서울에 집값 싼 데가",어딘가요?,"서울특별시 ",19,2024-10-17,4766925764,"년말아파트 기준 4억 ~ 5억( 공통점 산동네 지은지 30년 지하철역 에서 마을버스이용20분 정도 소요  도보 등산수준 아파트주변 주택은 더쌈)1위 도봉동 도봉동 서울가든 도봉산역2위 은평구 신사동 라이프가든 새절역3위 관악구 신림동 현대아파트 관악산역4위 도봉구 방학동 우성아파트 쌍문역5위 서대문구 홍은동 극동아파트 홍제역",2024-10-17
476692576,"질문서울에 집값 싼 데가",어딘가요?,"서울특별시 ",19,2024-10-17,4766925763,"래도 중심지가 아닌 변두리쪽에 있는 동네가 저렴하지 않을까요...",2024-10-17
476692576,"질문서울에 집값 싼 데가",어딘가요?,"서울특별시 ",19,2024-10-17,4766925762," 싼곳 입니다도봉구 도봉동중랑구 망우동관악구 대학동. 난곡동. 난향동금천구 시흥동강서구 신월동",2024-10-17
476692576,"질문서울에 집값 싼 데가",어딘가요?,"서울특별시 ",19,2024-10-17,4766925761,"구 창동",2024-10-17
476692360,"질문강남파티룸강남퍼펙트 예약 방법과 가격은?","친구들과 함께 파티를 하기 위해 강남 파티룸 강남 퍼펙트를 예약하려고 하는데 예약 방법과 가격이 궁금합니다. 그리고 파티룸 내부 시설과 이용 후기도 함께 알려주시면 감사하겠습니다.","서울특별시 강남구 ",10,2024-10-17,NULL,NULL,NULL
476692022,"질문코엑스 팝업!?","2024년도 10월 23일에 서울 코엑스 아니면 코엑스 주변 10분 거리에서 팝업 하는거 있나요","서울특별시 ",12,2024-10-17,4766920221,"월 코엑스삐아20주년 팝업스토어집이없어 팝업스토어",2024-10-17
476521473,"질문강서구 화곡동 시간제 알바없나요?","새벽에하는5시간짜리알바 구해요 일을해하는데 지금 1톤탑차로. 배달하거든요 그런데너무힘들어서 집주위로와서 차 안막히는시간데에 알바하고시ㅃ어요 도와주세요","서울특별시 강서구 ",19,2024-10-17,NULL,NULL,NULL
476691461,"질문노들섬 피크닉 질문이여ㅠ","남친이랑 노들섬을 갈건데 피크닉 대여하구 몇시까진 도착해야 돗자리 피구 여유롭게 좋은 장소에서 있을 수 있응까요? 그리고 보통 가면 몇시간 정도 머무르는지도 궁금합니다 피크닉이 첨이라..","서울특별시 용산구 ",21,2024-10-17,4766914612,"이 아니라서  여유 공간 많음 아무 때나 가도 상관없음보통 13시 ~ 17시 정도면 일어남피크닉 장소 야외공간 쉬는 날은 없음 365일 24간 개방닫는다고 하는것은  노들섬 시설 (공연장(라이브 하우스)  전시관 (노들 갤러리) )https://nodeul.org/%EB%85%B8%EB%93%A4%EC%84%AC-%ED%95%98%EC%A0%88%EA%B8%B0-%EC%9A%B4%EC%98%81%EC%8B%9C%EA%B0%84-%EC%95%88%EB%82%B4/노들섬 하절기 운영시간 안내nodeul.org",2024-10-17
476691461,"질문노들섬 피크닉 질문이여ㅠ","남친이랑 노들섬을 갈건데 피크닉 대여하구 몇시까진 도착해야 돗자리 피구 여유롭게 좋은 장소에서 있을 수 있응까요? 그리고 보통 가면 몇시간 정도 머무르는지도 궁금합니다 피크닉이 첨이라..","서울특별시 용산구 ",21,2024-10-17,4766914611,"노들섬 피크닉 운영 시간매주 월요일은 운영하지 않습니다(1) 하절기(3월~10월)화요일~금요일 10:00~21:00주말.공휴일 10:00~22:00(2) 동절기(11월~2월)화요일~일요일 10:00~20:00",2024-10-17
476690288,"질문수유역 헬스장 깨끗한곳으로 추천좀요!","운동좀 해보려고 하는데 수유역 헬스장 깨끗한 곳 있는지 궁금합니다 청결에 좀 예민한 편이라 너무 냄새나지 않고 깨끗한 수유역 헬스장이면 좋겠습니다 그리고 여자라서 엉덩이를 좀 만들고 싶은데 하체 기구가 많은 수유역 헬스장 있을까요?","서울특별시 강북구 수유동 ",10,2024-10-17,4766902881,"분이면 수유역 헬스장으로휘트니스피플이 좋을 것 같아요제 여동생이 다니는 헬스장인데여성 헬스장이라서 운동하기 좋을거에요그리고 깨끗하고 향기도 난다고 하네요이 근처 수유역 헬스장 중에 좀 인기가 많다네요기구들도 많다고 하니 원하시는 하체 기구들도 많을거 같아요예민한 편이라고 하시니 수유역 헬스장에한번 방문해서 눈으로 직접 보는것도 좋겠네요마음에 드는 수유역 헬스장 찾아서재밌는 헬스라이프 즐기시길!",2024-10-17
476689485,"질문둔촌동역안과.. 녹내장이 의심되서요..","최근 시력저하눈 통증두통 때문에 검색해보니 녹내장 증상이랑 비슷해서 둔촌동역안과 찾는 중인데 녹내장 진료 어디로 가는게 좋을까요?","서울특별시 강동구 둔촌동 ",12,2024-10-17,4766894851," 남편도 젊은데 녹내장 진단받아서지인소개로 둔촌동역안과 혜민.안과병원 다니면서 치료중이에요병원 규모가 꽤 크고 녹내장 치료 경험도 많아서 환자분들이 많더라고요.저희 남편은 초기에 발견해서 약물치료 결과가 좋더라고요.최대한 빨리 검사받아보세요..",2024-10-17
476688600,"질문장위3동 주민센터 주차","평일 업무 시간 외의 시간과 주말에 주차 가능한가요? 또한 업무 시간에 업무를 보는 시간 보다 더 길게 주차하면 어떻게 되나요.. 차단기는 없던데","서울특별시 성북구 ",13,2024-10-17,4766886001," 업무 시간 외와 주말에주차 가능합니다.업무 시간보다 더 길게 주차하면규정에 따라 다를 수 있습니다.",2024-10-17
476687844,"질문구일역 가는 쪽하고 가산 가는쪽 어떻게 구분","인천 쪽이 구일이고 신창 병점 쪽이 가산인거죠?","서울특별시 강남역 ",16,2024-10-17,4766878442,"맞습니다1.구일역 방향은 > 인천행 타면 구일역 갑니다2.가산역 방향은 > 병점행. 천안행. 서동탄행.신창행 타면 갑니다",2024-10-17
476687844,"질문구일역 가는 쪽하고 가산 가는쪽 어떻게 구분","인천 쪽이 구일이고 신창 병점 쪽이 가산인거죠?","서울특별시 강남역 ",16,2024-10-17,4766878441,"부천쪽이 구일역방향신창서동탄천안쪽이 가산디지털단지역방향",2024-10-17
476687580,"질문구로공단 그시절","주무대는 어디죠 구로역 기준으로 설명주세요","서울특별시 구로구 ",19,2024-10-17,4766875801,"역 1호선서울특별시 구로구 구로중앙로 174 구로역구로공단서울특별시 구로구 디지털로31길 19 에이스테크노타워Ⅱ구로공단서울특별시 금천구 벚꽃로 286 삼성리더스타워구로디지털단지역 (가리봉역)가산디지털단지역 (구로공단역)이쪽이 구로공단현재 공장은 없어지고 그자리에 디지털 업무지구로 바뀌면서 역명도 바꾸었음",2024-10-17
476685629,"질문서울 5535번버스 하차할때 카드를못찍었어요","요금이 추가로 더나오나요?","서울특별시 ",21,2024-10-17,4766856293,,2024-10-17
476685629,"질문서울 5535번버스 하차할때 카드를못찍었어요","요금이 추가로 더나오나요?","서울특별시 ",21,2024-10-17,4766856292,"35번 타기 전 지하철이나 버스를 탔을 경우안 찍고 내리면 다음에 탈 때 기본요금이 한 번 더 찍힘5535번 한 번만 탄 경우라면 안 찍고 내려도 무방",2024-10-17
